gene	go_term	go_slim_term	cellular_component
tag-196	GO:0005615;GO:0005764	GO:0005764	lysosome
tag-266	GO:0016020	GO:0016020	membrane
tag-275	GO:0016020	GO:0016020	membrane
tag-290			
tag-335	GO:0005737	GO:0005737	cytoplasm
tag-68	GO:0005634;GO:0005737;GO:0071144	GO:0005634;GO:0005737;GO:0032991	cytoplasm;nucleus;protein-containing complex
tald-1	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
tap-1			
tars-1	GO:0005737	GO:0005737	cytoplasm
tat-1	GO:0005737;GO:0005768;GO:0005769;GO:0005770;GO:0055037;GO:0005794;GO:0005802;GO:0005886;GO:0016020;GO:0016323;GO:0016324;GO:0031901;GO:0055038	GO:0005737;GO:0005768;GO:0005794;GO:0005886;GO:0016020	Golgi apparatus;cytoplasm;endosome;membrane;plasma membrane
tat-2	GO:0005802;GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
tat-3	GO:0005783;GO:0005789;GO:0016020;GO:0005886;GO:0012505	GO:0005783;GO:0005886;GO:0016020	endoplasmic reticulum;membrane;plasma membrane
tat-5	GO:0005737;GO:0005768;GO:0005802;GO:0012505;GO:0005886;GO:0016020;GO:0031410	GO:0005737;GO:0005768;GO:0005886;GO:0016020;GO:0031410	cytoplasm;cytoplasmic vesicle;endosome;membrane;plasma membrane
tat-6	GO:0005737;GO:0005768;GO:0005802;GO:0012505;GO:0005886;GO:0016020	GO:0005737;GO:0005768;GO:0005886;GO:0016020	cytoplasm;endosome;membrane;plasma membrane
tatn-1			
tax-2	GO:0005886;GO:0016020;GO:0017071;GO:0034703	GO:0005886;GO:0016020;GO:0032991	membrane;plasma membrane;protein-containing complex
tax-4	GO:0005886;GO:0005929;GO:0097730;GO:0016020;GO:0017071;GO:0034703;GO:0030425;GO:0042995;GO:0097543	GO:0005886;GO:0005929;GO:0016020;GO:0032991;GO:0042995;GO:0043005	cell projection;cilium;membrane;neuron projection;plasma membrane;protein-containing complex
tax-6	GO:0005634;GO:0005737;GO:0005929;GO:0097730;GO:0005955;GO:0030424;GO:0030425;GO:0042995;GO:0043025;GO:0043204	GO:0005634;GO:0005737;GO:0005929;GO:0032991;GO:0042995;GO:0043005	cell projection;cilium;cytoplasm;neuron projection;nucleus;protein-containing complex
tba-1	GO:0005737;GO:0005874;GO:0043025;GO:0030424;GO:0030425;GO:0072686;GO:0072687	GO:0005737;GO:0043005;GO:0043226	cytoplasm;neuron projection;organelle
tba-2	GO:0005737;GO:0005856;GO:0005874	GO:0005737;GO:0005856	cytoplasm;cytoskeleton
